Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
estee-lauder-beautiful-edp-75ml-for-women,Estee Lauder Beautiful Edp 75ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,16.25,30.0,TRUE,TRUE,https://livish.com/cdn/shop/files/fr-00002040-2.jpg?v=1758004378&width=600,1,Estee Lauder Beautiful Edp 75ml For Women,FALSE,active
elizabeth-arden-green-tea-scent-spray-eau-parfumee-100ml-for-women,Elizabeth Arden Green Tea Scent Spray Eau Parfumee 100ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,6.1,7.88,TRUE,TRUE,https://livish.com/cdn/shop/files/85805268848-elizabeth-arden-green-tea-edp-100-ml-550x550.jpg?v=1757938094&width=600,1,Elizabeth Arden Green Tea Scent Spray Eau Parfumee 100ml For Women,FALSE,active
stdupont-edp-100-ml-for-women,S.t.dupont Edp 100 Ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,27.5,31.5,TRUE,TRUE,https://livish.com/cdn/shop/files/s-t-dupont-pour-femme-edp-a-buy-luxury-women-perfume-klinq-3386461106527-18395615789219-2sgg3awnusugek6j.jpg?v=1757935103&width=600,1,S.t.dupont Edp 100 Ml For Women,FALSE,active
dolce-gabbana-pour-femme-edt-100ml-for-women,Dolce & Gabbana Pour Femme Edt 100ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,25.0,35.0,TRUE,TRUE,https://livish.com/cdn/shop/files/2cc8958d-82de-44b9-9a87-0a6e3b160b95.jpg?v=1757932149&width=600,1,Dolce & Gabbana Pour Femme Edt 100ml For Women,FALSE,active
dior-hypnotic-poison-edt-100ml-for-women,Dior Hypnotic Poison Edt 100ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,39.75,54.25,TRUE,TRUE,https://livish.com/cdn/shop/files/dior-hypnotic-poison-eau-de-toilette-women-s-fragrance-3348901250351-20498662293667-zcghzljdounwbl5z_1.jpg?v=1757923443&width=600,1,Dior Hypnotic Poison Edt 100ml For Women,FALSE,active
creed-millesime-imperial-edp-100ml-unisex-gold,Creed Millesime Imperial Edp 100ml Unisex-gold,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,87.5,112.38,TRUE,TRUE,https://livish.com/cdn/shop/files/3508441001039-1-wdwnswijt9gf10qe.jpg?v=1757858810&width=600,1,Creed Millesime Imperial Edp 100ml Unisex-gold,FALSE,active
cerruti-1881-edt-100ml-pour-femme,Cerruti 1881 Edt 100ml Pour Femme,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,11.25,12.6,TRUE,TRUE,https://livish.com/cdn/shop/files/cerruti-1881-edt-women-summer-perfume-kuwait-klinq-688575134490-31557498929315-2rav8vkynj2kkbpp.jpg?v=1757773731&width=600,1,Cerruti 1881 Edt 100ml Pour Femme,FALSE,active
ariana-grande-sweet-like-candy-edp-100-ml-for-women,Ariana Grande Sweet Like Candy Edp 100 Ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,20.0,26.25,TRUE,TRUE,https://livish.com/cdn/shop/files/812256021711-ariana-grande-ariana-grande-sweet-like-candy-w-edp-100-ml.png?v=1758461485&width=600,1,Ariana Grande Sweet Like Candy Edp 100 Ml For Women,FALSE,active
aigner-etienne-private-number-edt-100-ml-for-women,Aigner Etienne Private Number Edt 100 Ml For Women,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,8.75,12.25,TRUE,TRUE,https://livish.com/cdn/shop/files/aigner-private-number-edt-for-women-100-ml-1731388397860.jpg?v=1757150680&width=600,1,Aigner Etienne Private Number Edt 100 Ml For Women,FALSE,active
afnan-pure-musk-unisex-edp-100ml,Afnan Pure Musk Unisex Edp 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,6.25,9.0,TRUE,TRUE,https://livish.com/cdn/shop/files/6290171002130.jpg?v=1757149880&width=600,1,Afnan Pure Musk Unisex Edp 100ml,FALSE,active
guerlain-shalimar-women-edp-90ml,Guerlain Shalimar-women-edp-90ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,37.5,61.05,TRUE,TRUE,https://livish.com/cdn/shop/files/shalimar-guerlain-edp-spray-30-oz-w-3346470113558-2.jpg?v=1756904733&width=600,1,Guerlain Shalimar-women-edp-90ml,FALSE,active
tauer-au-coeur-du-desert-unisex-extrait-de-parfum-50ml,Tauer Au Coeur Du Desert -unisex-extrait De Parfum-50ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,52.5,72.36,TRUE,TRUE,https://livish.com/cdn/shop/files/tauer-au-coeur-du-desert-extrait-50-ml-1.jpg?v=1755668234&width=600,1,Tauer Au Coeur Du Desert -unisex-extrait De Parfum-50ml,FALSE,active
armaf-club-de-nuit-private-key-to-my-life-unisex-edp-100ml,Armaf Club De Nuit Private Key To My Life-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,11.3,16.38,TRUE,TRUE,https://livish.com/cdn/shop/files/armaf-club-de-nuit-private-key-to-my-life-ddfa1efc-primary_with_bgc-Picsart-AiImageEnhancer.png?v=1755668251&width=600,1,Armaf Club De Nuit Private Key To My Life-unisex-edp-100ml,FALSE,active
monart-gorgeous-unisex-edp-200ml,Monart Gorgeous-unisex-edp-200ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,22.5,34.71,TRUE,TRUE,https://livish.com/cdn/shop/files/b1e91d86-cd29-4ccb-8ba5-f3dc5b4aeb1d-1000x1000-uqg7x9e49-bks-4-j-xkxth-jgn-zg-t-bt-menv-cbfp-gv5ai.jpg?v=1755668264&width=600,1,Monart Gorgeous-unisex-edp-200ml,FALSE,active
mancera-instant-crush-unisex-edp-120ml,Mancera Instant Crush-unisex-edp-120ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,23.8,36.53,TRUE,TRUE,https://livish.com/cdn/shop/files/mancera-instant-crush-edp-for-unisex-120-ml-1731395614241.jpg?v=1755668277&width=600,1,Mancera Instant Crush-unisex-edp-120ml,FALSE,active
afnan-oud-rising-unisex-edp-80ml,Afnan Oud Rising-unisex-edp-80ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,12.2,20.3,TRUE,TRUE,https://livish.com/cdn/shop/files/oud-rising-front-e9e320b1-415e-4bed-991a-0725916ad465.jpg?v=1755668288&width=600,1,Afnan Oud Rising-unisex-edp-80ml,FALSE,active
opal-signature-by-sillage-dorient-edp-unisex-100ml,Opal Signature By Sillage D'orient-edp-unisex-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,25.0,57.0,TRUE,TRUE,https://livish.com/cdn/shop/files/1646381042-4034725.jpg?v=1755668317&width=600,1,Opal Signature By Sillage D'orient-edp-unisex-100ml,FALSE,active
matiere-premiere-falcon-leather-unisex-extrait-de-parfum-100ml,Matiere Premiere Falcon Leather-unisex-extrait De Parfum-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,93.75,105.0,TRUE,TRUE,https://livish.com/cdn/shop/files/3760372460501-1.jpg?v=1755668337&width=600,1,Matiere Premiere Falcon Leather-unisex-extrait De Parfum-100ml,FALSE,active
mancera-french-riviera-unisex-edp-120ml,Mancera French Riviera-unisex-edp-120ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,30.0,38.35,TRUE,TRUE,https://livish.com/cdn/shop/files/mancera-french-riviera-edp-unisex-120ml-1.jpg?v=1755668338&width=600,1,Mancera French Riviera-unisex-edp-120ml,FALSE,active
nicolai-saint-honore-intense-edp-unisex-100ml,Nicolai Saint Honore Intense Edp Unisex-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,42.5,64.8,TRUE,TRUE,https://livish.com/cdn/shop/files/6eb55ebf3fe5bef711b367a2bfcfcade.avif?v=1755668362&width=600,1,Nicolai Saint Honore Intense Edp Unisex-100ml,FALSE,active
afnan-rare-passion-unisex-edp-100ml,Afnan Rare Passion-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,7.81,13.35,TRUE,TRUE,https://livish.com/cdn/shop/files/caade9fa-97ba-4c79-b9ee-1de96ef80d37.jpg?v=1755668392&width=600,1,Afnan Rare Passion-unisex-edp-100ml,FALSE,active
guerlian-vetiever-parfum-unisex-100ml,Guerlian Vetiever Parfum Unisex 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,37.5,61.05,TRUE,TRUE,https://livish.com/cdn/shop/files/download-2025-11-30T124605.647.jpg?v=1764499628&width=600,1,Guerlian Vetiever Parfum Unisex 100ml,FALSE,active
